LOC_ID	Region	APORT_NAME	CITY	STATE	FAC_TYPE	ATCT_FLAG	HUB_SIZE	SYSYEAR	SCENARIO	AC	COMMUTER	T_ENPL	ITN_AC	ITN_AT	ATN_GA	_ITN_MIL	T_ITN	LOC_GA	LOC_MIL	T_LOC	T_AOPS	T_TROPS	TOT_BA
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2007	0	759	0	759	9302	2550	13628	10047	35527	17864	17427	35291	70818	25018	95
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2008	0	1304	0	1304	6585	2336	14509	8296	31726	21177	15695	36872	68598	27253	43
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2009	0	367	1314	1681	5962	2464	14604	7887	30917	25840	12224	38064	68981	34751	43
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2010	0	78	2541	2619	4943	2217	13277	10552	30989	20443	6948	27391	58380	39518	37
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2011	0	0	8	8	6173	2339	12358	14554	35424	17439	3918	21357	56781	44470	37
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2012	0	0	4	4	3649	2465	11093	6882	24089	5406	1050	6456	30545	40255	36
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2013	0	0	5	5	8082	2102	16920	8062	35166	28621	10607	39228	74394	46758	36
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2014	0	179	7	186	8037	2270	17505	7650	35462	31963	11488	43451	78913	39602	37
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2015	0	0	0	0	5738	2711	18351	7908	34708	30950	10206	41156	75864	42380	36
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2016	0	0	13	13	6382	2216	15158	6631	30387	27312	7399	34711	65098	36731	38
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2017	0	2	0	2	6830	2234	14862	5958	29884	26926	7103	34029	63913	35992	51
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2018	0	14	3	17	7882	8319	14243	5279	35723	34127	6297	40424	76147	40295	51
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2019	0	0	52	52	5735	15120	8882	6552	36289	41345	7434	48779	85068	40252	51
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2020	0	0	4	4	3973	11641	7835	4274	27723	30775	5105	35880	63603	31142	45
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2021	1	0	0	0	7480	15185	7849	6457	36971	44695	7393	52088	89059	39853	47
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2022	1	0	17	17	7480	15336	11747	6457	41020	42538	7393	49931	90951	45182	48
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2023	1	0	35	35	7480	15488	11818	6457	41243	42584	7393	49977	91220	46637	48
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2024	1	0	52	52	7480	15642	11890	6457	41469	42630	7393	50023	91492	47441	50
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2025	1	0	52	52	7480	15797	11962	6457	41696	42676	7393	50069	91765	47756	51
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2026	1	0	52	52	7480	15954	12034	6457	41925	42804	7393	50197	92122	47996	51
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2027	1	0	52	52	7480	16114	12107	6457	42158	42932	7393	50325	92483	48301	51
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2028	1	0	52	52	7480	16276	12180	6457	42393	43060	7393	50453	92846	48631	52
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2029	1	0	52	52	7480	16438	12254	6457	42629	43189	7393	50582	93211	48951	52
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2030	1	0	52	52	7480	16602	12328	6457	42867	43318	7393	50711	93578	49267	53
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2031	1	0	52	52	7480	16769	12403	6457	43109	43447	7393	50840	93949	49593	53
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2032	1	0	52	52	7480	16936	12478	6457	43351	43577	7393	50970	94321	49915	53
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2033	1	0	52	52	7480	17105	12554	6457	43596	43707	7393	51100	94696	50244	54
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2034	1	0	52	52	7480	17276	12630	6457	43843	43838	7393	51231	95074	50569	54
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2035	1	0	52	52	7480	17449	12706	6457	44092	43969	7393	51362	95454	50891	54
